product_key,sku,part_number,variant_name,uom,pack_size,min_order_qty,stock_status,is_default,position
32X2-PROTECTIVE-LENS,REF-32X2-PROTECTIVE-LENS,REF-32X2-PROTECTIVE-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-ORIGINAL-PROTECTIVE-LENS,REF-RAYTOOLS-ORIGINAL-PROTECTIVE-LENS,REF-RAYTOOLS-ORIGINAL-PROTECTIVE-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
FIBER-PROTECTIVE-LENS,REF-FIBER-PROTECTIVE-LENS,REF-FIBER-PROTECTIVE-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-PROTECTIVE-LENS,REF-RAYTOOL-PROTECTIVE-LENS,REF-RAYTOOL-PROTECTIVE-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
WEIHONG-REMOTE-CONTROLLER,REF-WEIHONG-REMOTE-CONTROLLER,REF-WEIHONG-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
CYPCUT-REMOTE-CONTROLLER,REF-CYPCUT-REMOTE-CONTROLLER,REF-CYPCUT-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
6000MM-S-RAYTOOL-REMOTE-CONTROLLER,REF-6000MM-S-RAYTOOL-REMOTE-CONTROLLER,REF-6000MM-S-RAYTOOL-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-WEIHONG-REMOTE-CONTROLLER,REF-RAYTOOLS-WEIHONG-REMOTE-CONTROLLER,REF-RAYTOOLS-WEIHONG-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BODOR-REMOTE-CONTROLLER,REF-BODOR-REMOTE-CONTROLLER,REF-BODOR-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
ROUND-RUBBER-BELLOWS,REF-ROUND-RUBBER-BELLOWS,REF-ROUND-RUBBER-BELLOWS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BELLOW-FLEXIBLE-COUPLING,REF-BELLOW-FLEXIBLE-COUPLING,REF-BELLOW-FLEXIBLE-COUPLING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
WSX-NC63-SENSOR-HEAD,REF-WSX-NC63-SENSOR-HEAD,REF-WSX-NC63-SENSOR-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
30-BAR-SMC-SOLENOID-VALVE,REF-30-BAR-SMC-SOLENOID-VALVE,REF-30-BAR-SMC-SOLENOID-VALVE,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
10-BAR-SMC-SOLENOID-VALVE,REF-10-BAR-SMC-SOLENOID-VALVE,REF-10-BAR-SMC-SOLENOID-VALVE,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
30-BAR-SMC-PROPORTIONAL-VALVE,REF-30-BAR-SMC-PROPORTIONAL-VALVE,REF-30-BAR-SMC-PROPORTIONAL-VALVE,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
POLYESTER-SWAB-GESTRICT,REF-POLYESTER-SWAB-GESTRICT,REF-POLYESTER-SWAB-GESTRICT,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
PU-TIMING-BELT,REF-PU-TIMING-BELT,REF-PU-TIMING-BELT,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OPHIR-LASER-LENSES,REF-OPHIR-LASER-LENSES,REF-OPHIR-LASER-LENSES,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
CO2-LASER-MACHINE-LENS,REF-CO2-LASER-MACHINE-LENS,REF-CO2-LASER-MACHINE-LENS,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
FIBER-LASER-WELDING-GOGGLES,REF-FIBER-LASER-WELDING-GOGGLES,REF-FIBER-LASER-WELDING-GOGGLES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
LASER-LENSE-CLEANING-SWABS,REF-LASER-LENSE-CLEANING-SWABS,REF-LASER-LENSE-CLEANING-SWABS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
LENSE-CLEANING-COTTON-SWABS-FOR-LASER-MACHINE,REF-LENSE-CLEANING-COTTON-SWABS-FOR-LASER-MACHINE,REF-LENSE-CLEANING-COTTON-SWABS-FOR-LASER-MACHINE,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
MAX-QBH-I-12-8X19-7-1-5KW,REF-MAX-QBH-I-12-8X19-7-1-5KW,REF-MAX-QBH-I-12-8X19-7-1-5KW,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
CYPCUT-2000C-CONTROL-CARD,REF-CYPCUT-2000C-CONTROL-CARD,REF-CYPCUT-2000C-CONTROL-CARD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
SMC-PROPORTIONAL-VALVE-10BAR,REF-SMC-PROPORTIONAL-VALVE-10BAR,REF-SMC-PROPORTIONAL-VALVE-10BAR,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RF-CABLE-OR-SENSOR-CABLE-CONNECTOR-COPPER,REF-RF-CABLE-OR-SENSOR-CABLE-CONNECTOR-COPPER,REF-RF-CABLE-OR-SENSOR-CABLE-CONNECTOR-COPPER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
CYPCUT-OEM-REMOTE-CONTROLLER,REF-CYPCUT-OEM-REMOTE-CONTROLLER,REF-CYPCUT-OEM-REMOTE-CONTROLLER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
COPPER-RF-CABLE-SENSOR-CABLE-FOR-RAYTOOL,REF-COPPER-RF-CABLE-SENSOR-CABLE-FOR-RAYTOOL,REF-COPPER-RF-CABLE-SENSOR-CABLE-FOR-RAYTOOL,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
COPPER-RF-CABLE-SENSOR-CABLE-FOR-OSPRI-WSX,REF-COPPER-RF-CABLE-SENSOR-CABLE-FOR-OSPRI-WSX,REF-COPPER-RF-CABLE-SENSOR-CABLE-FOR-OSPRI-WSX,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
WSX-NC30-SENSOR-HEAD,REF-WSX-NC30-SENSOR-HEAD,REF-WSX-NC30-SENSOR-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
MAX-LASER-SOURCE,REF-MAX-LASER-SOURCE,REF-MAX-LASER-SOURCE,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
BYSTRONIC-CNC-PRESS-BRAKE-225-TON-CNC-BENDING-SERVICES,REF-BYSTRONIC-CNC-PRESS-BRAKE-225-TON-CNC-BENDING-SE,REF-BYSTRONIC-CNC-PRESS-BRAKE-225-TON-CNC-BENDING-SE,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OSPRI-LC808-COLLIMATION-LENS-37X100,REF-OSPRI-LC808-COLLIMATION-LENS-37X100,REF-OSPRI-LC808-COLLIMATION-LENS-37X100,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
KONTACT-IPA-SPRAY-FOR-LENS-CLEANING,REF-KONTACT-IPA-SPRAY-FOR-LENS-CLEANING,REF-KONTACT-IPA-SPRAY-FOR-LENS-CLEANING,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
